No,类型,信号,位置提示,游戏坐标,挑战起点,起点差,解法原文,截图
411,搬石头,text,依盖队基地,"-3846.4, 1469.0",,,"Pick up this rock, almost at the top of the cliff.",Korok411.jpg
412,垒石·石圈,text,卡尔萨谷,"-4134.0, 1720.4",,,Complete the rock pattern.,Korok412.jpg
413,垒石·石圈,text,马神桥,"517.0, 3765.6",,,The rock needed to complete this stone circle is on the cliff above.,Korok413.jpg
414,垒石·石圈,text,玛萨海湾,"1373.6, 3755.0",,,"On the beach is a ring of rocks with one spot missing. Find the nearby boulder (close to the palm tree), pick it up and drop it into the missing spot.",Korok414.jpg
415,射气球,text,海布拉山北岳,"-4001.0, -3623.6",,,"Stand next to the pinwheel, shoot the balloon. Cold Resistance Level 2 recommended.",Korok415.jpg
416,树叶下,text,海布拉大化石,"-4030.4, -3756.4",,,Melt the left piece of ice to reveal leaves to examine. Cold Resistance Level 2 recommended.,Korok416.jpg
417,射箭·射靶,text,海布拉北峰,"-3756.4, -3847.6","-3990.4, -3615.3",是,Pick up the rock from the center of the circle and put it in the missing spot on the outer circle.,Korok417.jpg
418,射气球,text,北塔邦挞雪原,"-1969.6, -3795.0",,,Stand near the pinwheel and shoot the balloons.,Korok418.jpg
419,垒石·石圈,text,萨托利山,"-2040.4, 296.4",,,"Bomb the large pile of rocks, then lift up the small rock that was hidden underneath.",Korok419.jpg
420,追花,text,达思齐达高原,"2951.6, 3003.6","2947.3, 3436.0",是,Follow the yellow flower trail in a loop around the little pond area.,Korok420.jpg
421,搬石头,text,千之中洲,"1107.6, 553.0",,,"Remove the large rock (use Stasis and hit it), then pick up the smaller.",Korok421.jpg
422,射气球,text,比利丁高地,"-3844.0, 1902.4",,,Stand next to the pinwheel and then shoot down all three balloon targets.,Korok422.jpg
423,精灵光点,text,千之中洲,"1312.4, 504.0",,,Fairy lights circle the area. Catch them.,Korok423.jpg
424,搬石头,text,力量之泉,"3730.4, -2674.0",,,"Above the Spring of Power on an upper rock layer, a rock sits on top a small hill. Lift it and a Korok will appear to give you a seed.",Korok424.jpg
425,食物祭品,text,千之中洲,"1446.4, 562.4",,,Remove apples from the tree with too many to match the other two.,Korok425.jpg
426,磁铁·方块拼图,text,艾美拉尔台地,"-4179.6, 1483.0",,,Solve the block puzzle. The block is on top of a pillar to the west. You'll need Level 1 cold resistance where the puzzle is.,Korok426.jpg
427,磁铁·方块拼图,text,萨乌兹岛,"1435.0, 137.0",,,Use magnesis to put the rock in the well.,Korok427.jpg
428,搬石头,text,湿地驿站,"881.6, 273.6",,,"Burn away the brambles or float over them, and pick up the rock.",Korok428.jpg
429,精灵光点,text,杜艾斯岛,"1593.6, 115.0",,,Fairy lights circle the area. Catch them.,Korok429.jpg
430,射箭·射靶,actor,亚阔湖,"-1355.6, 998.0","-1389.8, 1148.9",是,Complete the rock triangle.,Korok430.jpg
431,垒石·石圈,text,米奥乌岛,"2086.4, 183.6",,,Use the nearby rock to complete the circle.,Korok431.jpg
432,冰块,text,澳尔帕台地,"-3064.4, 1288.4",,,Melt the large chunk of ice.,Korok432.jpg
433,垒石·石圈,text,更格尔山,"1185.6, -66.0",,,Use the nearby rock to complete the circle.,Korok433.jpg
434,垒石·石圈,text,更格尔山,"1089.0, -215.0",,,Use the rock to complete the circle.,Korok434.jpg
435,垒石·石圈,text,马克雅林高地,"-3700.4, 804.4",,,Make both rock patterns match.,Korok435.jpg
436,射气球,text,更格尔山,"1104.0, -444.4",,,Shoot the balloon hiding in the tree.,Korok436.jpg
437,磁铁·方块拼图,text,鲁皮湖,"1198.4, -1149.6",,,Use Magnesis to lift the block out of the water and complete the puzzle.,Korok437.jpg
438,搬石头,text,阿卡莱古代研究所,"4818.4, -3303.0",,,Move the slab to reveal the rock to pick up.,Korok438.jpg
439,射箭·射靶,text,秋叶台地,"3997.0, -3145.6","3736.2, -2884.6",是,"Hit the leaves, then pick up the rock.",Korok439.jpg
440,跳水环,text,泽罗池塘,"1629.6, -550.4",,,Create a cryonis pillar next to the circle of water lilies and then dive into it.,Korok440.jpg
441,跳水环,text,鲁皮湖,"1284.4, -1121.6",,,Dive into the circle of lilies.,Korok441.jpg
442,赛跑·树桩,text,泽罗池塘,"1832.4, -535.6","1585.2, -719.4",是,"The seed platform for this race is along the line of the ridge to the southeast. It's the peak just uphill to the west of the Soh Kofi Shrine. Once you reach the seed platform, glide and sprint to the end for your seed.",Korok442.jpg
443,垒石·石圈,text,密斯密桥,"1267.6, -699.6",,,Throw a rock into the circle of rocks in the water.,Korok443.jpg
444,精灵光点,text,达尔布尔桥,"2426.4, -410.4",,,Climb to the top of the tree and examine the fairy lights.,Korok444.jpg
445,跳水环,text,林芭海滩,"3174.4, 3822.4",,,Jump into the circle of seaweed/plants.,Korok445.jpg
446,追花,actor,沃托里村,"2966.0, 3381.0","2967.1, 2948.4",是,"Get a rock to the roof, and complete the rock triangle. This can be difficult and there are multiple methods.",Korok446.jpg
447,搬石头,text,乌奥谷,"2635.0, 3198.0",,,Clear away the leaves and then lift up the small rock.,Korok447.jpg
448,跳水环,text,茨卡耶台地,"2877.6, 2687.6",,,Jump or dive into the ring of flower lilies in the water.,Korok448.jpg
449,搬石头,text,克洛伊达高地,"2182.0, 2535.0",,,Climb to the top of the peak here and lift the small rock.,Korok449.jpg
450,搬石头,text,克洛伊达高地,"2286.4, 2658.4",,,"Lift the small rock next to this tree, right next to the opening that leads into the tunnel beneath the hill.",Korok450.jpg
451,食物祭品,text,罗达伊湖,"1945.6, 3008.0",,,At the top of this plateau are 3 durian trees. Pluck 2 Hearty Durians to make the west-most tree identical to the other 2 trees.,Korok451.jpg
452,赛跑·树桩,text,奇希莱平原,"1562.4, 2898.4",,,The seed platform is at the bottom of the cliff. Climb up to the ring.,Korok452.jpg
453,磁铁·方块拼图,text,路特斯湖,"1658.4, 3163.0","1766.2, 2936.5",是,"Halfway up the waterfall are two ledges to the left and the right. On one of them is a Magnesis puzzle; the other ledge contains the missing block. Refrain from using Cryonis on the waterfall, since the blocks will come out tilted and will make the cube fall; the range of Magnesis is long enough for the cube to reach the puzzle ledge.",Korok453.jpg
454,射气球,text,本拉斯树海,"1494.4, 3373.0",,,"Climb to the top of the tree and stand near the pinwheel. Three balloons will appear. Shoot them all to make the Korok appear. These Balloons are well hidden, including one hanging just below the edge of the tree platform, so look around carefully.",Korok454.jpg
455,搬石头,text,塔巴尔森林,"2517.6, -212.4",,,Lift the rock.,Korok455.jpg
456,磁铁·方块拼图,text,卓拉河,"2796.0, -499.0","2737.9, -174.6",是,Solve the block puzzle.,Korok456.jpg
457,垒石·石圈,text,许愿河畔,"2664.0, -0.4",,,Throw a rock in the circle of rocks. Getting some height from the ledge to the left and using Cryonis makes it easier.,Korok457.jpg
458,射气球,text,杜·邦山脉,"2772.4, 351.6","2472.0, 460.4",是,"A balloon is floating above the river. Shoot it. Gliding close and using a mid-air shot might help, or just drop a bomb on it like you can for every other balloon",Korok458.jpg
459,射箭·射靶,text,格鲁德峡谷,"-2263.0, 2164.4","-2550.2, 2038.1",是,Destroy the acorn. Shooting it with an arrow is easiest.,Korok459.jpg
460,食物祭品,text,凯波拉岭,"4038.0, -1258.0",,,Match the apple pattern on the tree.,Korok460.jpg
461,精灵光点,text,茹特拉河,"3140.4, 326.0",,,Catch the Fairy Lights.,Korok461.jpg
462,搬石头,text,珊湖,"-152.0, 3070.0",,,Look for a small ledge jutting out of the rock face with a rock on it approximately halfway up the wall.,Korok462.jpg
463,追花,actor,特托拉平原,"-227.6, 3344.0","-209.4, 3445.0",是,Follow the trail of flowers starting from slightly south.,Korok463.jpg
464,搬石头,text,卡洛克桥,"-1036.0, -445.6",,,Under a rock.,Korok464.jpg
465,追花,text,露朵湖,"3085.0, -167.0","2984.5, -177.1",是,"The flower trail starts downhill to the west, and will involve some climbing to reach the seed.",Korok465.jpg
466,精灵光点,text,Zora's Domain (Breath of the Wild),"3321.6, -512.0",,,"In the tail fin of the fish statue on top of Zora's Domain, almost the very highest point, examine the fairy lights.",Korok466.jpg
467,射气球,text,八爪怪森林,"3181.6, -3073.6",,,"Move the large, flat rock with Stasis or an Octo Balloon, then pick up the rock underneath it.",Korok467.jpg
468,磁铁·方块拼图,text,奥尔龙盆地,"3439.0, -2528.0",,,Solve the Magnesis puzzle on the cliff wall (at the lowest level of the quarry). The metal block is on top of the nearby rising to the south.,Korok468.jpg
469,磁铁·方块拼图,text,露朵台地,"3520.4, -382.4",,,Solve the block puzzle.,Korok469.jpg
470,射气球,text,乌波茨台地,"1633.0, 3886.4",,,"From the ground below, look up into the overhanging rock and shoot the lone balloon.",Korok470.jpg
471,搬石头,text,卓拉台地,"3208.4, -1012.0",,,Climb up here and pick up the rock.,Korok471.jpg
472,射箭·射靶,actor,鸟鸣草原,"-868.4, 219.6","-516.9, 97.8",是,On top of a flagpole.,Korok472.jpg
473,磁铁·方块拼图,text,塔尔塔尔台地,"4075.0, -463.0",,,Look across the river for a boulder. Use Magnesis to carry the large metal boulder to the hole.,Korok473.jpg
474,追花,text,塔尔塔尔台地,"4139.0, -410.0","4083.1, -424.8",是,Follow the flower trail up the hill.,Korok474.jpg
475,搬石头,text,露朵台地,"3526.4, -275.6",,,Pick up the rock.,Korok475.jpg
476,射箭·射靶,text,鸟鸣草原,"-424.4, 151.0","-516.9, 97.8",是,Stand on the tree stump by the paper windmill and shoot the acorn that is being thrown between two trees to southwest.,Korok476.jpg
477,磁铁·方块拼图,text,塔尔塔尔台地,"4081.0, -215.0",,,Solve the block puzzle.,Korok477.jpg
478,搬石头,text,加卜台地,"4133.6, 61.6",,,This one left a clue for you. Bomb the boulders and pick up the rock under them.,Korok478.jpg
479,搬石头,text,荷隆湾,"4294.0, 77.6",,,Bomb the rock pile and pick up the rock underneath.,Korok479.jpg
480,磁铁·方块拼图,text,荷隆湾,"4140.4, 199.0",,,Solve the block puzzle.,Korok480.jpg
481,精灵光点,text,布兰努山丘,"3855.0, 352.4",,,Catch the fairy lights.,Korok481.jpg
482,追花,text,拉聂尔湾,"3455.0, 550.4","3509.6, 519.4",是,"The flower trail starts to the east, follow it through the tunnel to the west.",Korok482.jpg
483,搬石头,text,萨玛莎平原,"3432.0, 525.0",,,"Clear the leaves, pick up the rock beneath.",Korok483.jpg
484,垒石·石圈,text,萨玛莎平原,"3271.0, 656.4",,,Complete the rock circle using the rock at the other end of the beach.,Korok484.jpg
485,搬石头,text,拉聂尔湾,"3560.0, 627.6",,,"Blow up the boulders, pick up the rock underneath.",Korok485.jpg
486,搬石头,text,萨托利山,"-2296.4, 344.4",,,Under a rock on top of a tree.,Korok486.jpg
487,搬石头,text,拉聂尔湾,"3721.0, 619.6",,,Pick up this rock.,Korok487.jpg
488,食物祭品,text,西海拉鲁平原,"-1881.0, -28.4",,,Make the three trees identical by picking apples.,Korok488.jpg
489,射气球,text,罗德拉姆半岛,"4265.0, 628.4",,,"Lift the big rock with an Octo Balloon, then pick up the small rock yourself.",Korok489.jpg
490,射气球,text,托洛伊瓦高原,"4451.6, 484.4",,,Shoot the balloon inside the big stone arch.,Korok490.jpg
491,追花,text,罗德拉姆半岛,"4568.0, 646.4","4497.5, 1016.6",是,"The flower trail for this starts up the cliffs to the west, in the grove.",Korok491.jpg
492,赛跑·树桩,text,萨托利山,"-2175.0, 463.6","-2187.6, 573.4",是,Start the race on the seed platform to the south and slightly west. Race up to the cliff edge before the time runs out.,Korok492.jpg
493,搬石头,text,尼凯尔平原,"-2200.0, 733.6",,,Get the large boulder out of the way and then lift up the small rock hidden underneath it.,Korok493.jpg
494,搬石头,text,萨托利山,"-1962.4, 407.6",,,Pick up the rock in the hollow stump.,Korok494.jpg
495,射气球,text,西海拉鲁平原,"-1997.6, 162.4",,,"Stand on the patch of grass near the pinwheel, and shoot the three balloons.",Korok495.jpg
496,搬石头,text,阿卡莱练兵场遗迹,"3408.4, -1277.6",,,"Move the door, pick up the rock.",Korok496.jpg
497,垒石·石圈,text,南阿卡莱瀑布,"3724.4, -1132.0",,,Pick up a nearby rock on the eastern bank and throw it into the stone circle in the river.,Korok497.jpg
498,精灵光点,text,摩尔达巴山,"-1126.0, 3627.0",,,Catch the fairy lights.,Korok498.jpg
499,磁铁·方块拼图,text,布伊达湖,"1841.6, 3599.0",,,Use the magnesis block behind the waterfall to complete the cliffside puzzle. Cryonis will be required to reach the puzzle.,Korok499.jpg
500,精灵光点,text,海利亚河,"396.0, -626.4",,,Catch the fairy lights as they circle around the area.,Korok500.jpg
501,精灵光点,text,拉明平原,"-1060.4, -1928.0",,,Climb on top of the destroyed building and examine the fairy lights.,Korok501.jpg
502,搬石头,text,阿卡莱堡垒遗迹,"3287.6, -1573.6",,,Move the leaves to uncover a rock. Pick up the rock.,Korok502.jpg
503,跳水环,text,更格尔山丘,"506.4, -881.6",,,Dive into the circle of lilies.,Korok503.jpg
504,射气球,text,西格鲁德遗迹,"-4608.4, 2340.4",,,Climb up the rib to the pinwheel and examine the fairy lights.,Korok504.jpg
505,垒石·石圈,text,鼓大湖,"1427.0, -1545.6",,,Complete the stone circle using nearby rocks.,Korok505.jpg
506,射气球,text,格鲁德峡谷,"-2548.4, 2041.0",,,Shoot the balloon in the rock bridge cleft.,Korok506.jpg
507,赛跑·树桩,text,梅竹台地,"-2429.0, 1921.6","-2395.8, 1915.5",是,Stand on the nearby seed platform and then race to the ring.,Korok507.jpg
508,精灵光点,text,梅竹台地,"-2415.6, 1928.0",,,Examine the fairy lights in the cleft in the rock bridge.,Korok508.jpg
509,赛跑·树桩,text,第八位英雄的雕像,"-4325.6, 698.4","-4276.3, 610.6",是,The seed platform for this race is at the top of the cliff to the northeast. Race to the ring.,Korok509.jpg
510,追花,text,贝利尔雪原,"-4343.0, 780.4","-4381.9, 782.6",是,"This flower trail starts directly west, at the bottom of the cliff, and requires you to climb straight up. Bring lots of stamina 3 full bars isn't enough will need to replenish.",Korok510.jpg
511,推石入坑,text,第八位英雄的雕像,"-4411.6, 333.0",,,Push the boulders at the top of the cliff into the hole at the bottom.,Korok511.jpg
512,赛跑·树桩,text,海马高地,"-4183.6, 291.0","-4207.9, 266.8",是,The seed platform is on the ledge to the northwest. Race to the ring.,Korok512.jpg
513,射气球,text,比托谷,"1307.0, 2436.0",,,Stand near the pinwheel and shoot the balloons.,Korok513.jpg
514,追花,text,奇希莱平原,"1373.0, 2748.0","1378.7, 2767.8",是,"The flower trail starts inside the tunnel, then works its way up the northern cave entrance.",Korok514.jpg
515,磁铁·方块拼图,text,利诺斯岭,"-3834.4, -2112.0",,,Put the rock in the well using Magnesis.,Korok515.jpg
516,追花,text,沃托里村,"2941.6, 3430.4","2967.1, 2948.4",是,"On top of the inn, there are 3 palm tree trunks. Climb around these chasing the yellow flower trail.",Korok516.jpg
517,食物祭品,text,沃托里村,"2838.0, 3454.4",,,"Remove the apple from between the palm fruits, such as by shooting it.",Korok517.jpg
518,食物祭品,text,克拉尔湖,"2170.0, 3272.4",,,Remove two Hearty Durian from the western tree so that all three trees match.,Korok518.jpg
519,食物祭品,text,布伊达湖,"1759.0, 3688.4",,,Place Mighty Bananas on the leaf below the statue.,Korok519.jpg
520,树叶下,text,湖畔驿站,"1554.0, 3529.0",,,Burn the goatee made out of leaves of the Horse structure above the stables.,Korok520.jpg
521,食物祭品,text,利贝拉树海,"1859.0, 3354.0",,,Remove the Luminous Stone from the eye of the statue.,Korok521.jpg
522,搬石头,text,奇比纳湖,"1217.0, 3525.6",,,Lift up the small rock found on top of the ledge here.,Korok522.jpg
523,垒石·石圈,text,奇比纳湖,"1072.4, 3624.4",,,"This Korok's rock pattern is in the shape of a large spiral. On the second line from the outside is a missing rock, simply complete the pattern with the rock found nearby.",Korok523.jpg
524,赛跑·树桩,text,古奇尼扎平原,"963.6, 3371.0","894.8, 3476.6",是,This race begins at the even taller pillar to the southwest.,Korok524.jpg
525,射气球,text,思古兰特树海,"742.0, 3243.6",,,"Remove the slab using Stasis or an Octo Balloon since there's several octoroks in the area, then pick up the rock.",Korok525.jpg
526,垒石·石圈,text,思古兰特树海,"701.0, 3278.4",,,Throw a nearby rock into the ring of stones in the pond. Cryonis might help.,Korok526.jpg
527,追花,text,撒戎桥,"1012.0, 3255.0","679.0, 3061.2",是,Follow the yellow flower trail that starts just on the opposite side of the bridge.,Korok527.jpg
528,射气球,text,撒戎桥,"1055.0, 3255.0",,,Shoot the balloon hidden in the top of the palm tree. It is easiest to spot if you climb up the ledge to the east.,Korok528.jpg
529,跳水环,text,左纳乌遗迹群,"704.4, 2960.4",,,Dive into the ring of lilies.,Korok529.jpg
530,推石入坑,text,阿米麦台地,"369.0, 3645.6",,,High on the cliff above this hole are three boulders. Push one of them off the cliff and into the hole.,Korok530.jpg
531,垒石·石圈,text,马神桥,"640.4, 3712.0",,,Pick up a rock to the north just up the ledge and move it to complete the stone circle.,Korok531.jpg
532,跳水环,text,马神湖,"646.4, 3616.4",,,Dive into the ring of flower lilies in the water.,Korok532.jpg
533,搬石头,text,马泷之泉,"890.0, 3694.4",,,Lift up the small rock at the top of this mountain.,Korok533.jpg
534,磁铁·方块拼图,text,伊巴拉高地,"913.0, 3836.4",,,Solve the block puzzle.,Korok534.jpg
535,跳水环,text,帕发海岸,"286.4, 3903.0",,,Jump into the ring of seaweed to reveal a Korok.,Korok535.jpg
536,食物祭品,text,帕发海岸,"98.4, 3821.6",,,Climb to the top of the mushroom shaped pillar and pick up the rock at the top.,Korok536.jpg
537,搬石头,text,拉贝岩礁,"-249.6, 3831.0",,,Bomb the wall and lift the hidden rock.,Korok537.jpg
538,精灵光点,text,拉贝岩礁,"-241.6, 3883.0",,,Catch the fairy lights.,Korok538.jpg
539,精灵光点,text,拉贝岩礁,"-266.0, 3889.0",,,Climb the palm tree and examine the fairy lights.,Korok539.jpg
540,搬石头,text,拉贝岩礁,"-352.0, 3898.4",,,Drop one cliff level down from the top of the cliff to find a rock to pick up.,Korok540.jpg
541,磁铁·方块拼图,text,珊湖,"-28.4, 3044.4",,,"This one is very hard to see. The metal cube is underwater next to the islands, but can only be seen from certain angles (look down where the arrow is in the picture). Then take it to the block puzzle on the cliff, which can be hard to spot. It's on the north side of the cliff.",Korok541.jpg
542,搬石头,text,爱恩河,"65.0, 3221.6",,,Bomb the wall in the corner of the hillside then lift the revealed rock.,Korok542.jpg
543,搬石头,text,芬拉斯树海,"609.0, 2872.0",,,Pick up the rock.,Korok543.jpg
544,推石入坑,text,芬拉斯树海,"415.6, 2877.6",,,Roll the boulder into the hole.,Korok544.jpg
545,射箭·射靶,text,Lake Hylia (Breath of the Wild),"338.4, 2831.0","349.3, 2592.9",是,Shoot the acorn.,Korok545.jpg
546,搬石头,text,Lake Hylia (Breath of the Wild),"165.0, 2783.0",,,Pick up the rock.,Korok546.jpg
547,射气球,text,Bridge of Hylia (Breath of the Wild),"-68.0, 2439.6",,,Shoot the balloon.,Korok547.jpg
548,搬石头,text,Bridge of Hylia (Breath of the Wild),"-73.6, 2416.0",,,"Move the slab, and pick up the rock under it.",Korok548.jpg
549,射箭·射靶,text,Bridge of Hylia (Breath of the Wild),"-54.0, 2492.0","-66.2, 2440.6",是,Climb down the bridge to the first set of windows. Pick up the tree branch on the narrow ledge.,Korok549.jpg
550,精灵光点,text,海利亚岛,"-400.0, 2559.6",,,"Examine the fairy lights at the top of the tree. Refrain from attempting it during a thunderstorm, since lightning will strike and take the tree down.",Korok550.jpg
551,磁铁·方块拼图,text,Lake Hylia (Breath of the Wild),"-466.4, 2907.0",,,Solve the Magnesis block puzzle. The block is in the water nearby.,Korok551.jpg
552,搬石头,text,海利亚岛,"-602.4, 2659.6",,,Pick up the rock.,Korok552.jpg
553,赛跑·树桩,text,Lake Hylia (Breath of the Wild),"-610.0, 2390.4","-668.9, 2392.4",是,Step on the seed platform on the coast to the west and then race to the ring.,Korok553.jpg
554,磁铁·方块拼图,text,Lake Hylia (Breath of the Wild),"34.4, 2101.6","208.6, 2076.1",是,Use Magnesis on the metal cube and bring it to the other side of the waterfall. Use Cryonis on the waterfall to reach the box puzzle above.,Korok554.jpg
555,磁铁·方块拼图,text,阿德亚村遗迹,"215.0, 2072.4",,,Use Magnesis to move the chained rock into the stump.,Korok555.jpg
556,搬石头,text,阿德亚村遗迹,"355.0, 1998.0",,,Lift the rock.,Korok556.jpg
557,磁铁·方块拼图,text,阿迪亚湖,"624.0, 2301.0","287.9, 2261.1",是,Solve the block puzzle. The block is in the nearby tree.,Korok557.jpg
558,精灵光点,text,费罗龙台地,"615.0, 2418.4",,,There are two fairy lights dancing around here. Catch them both for two seeds.,Korok558.jpg
559,搬石头,text,费罗龙台地,"679.0, 2502.4",,,Lift stone at the top of the hill.,Korok559.jpg
560,射气球,text,Lake Hylia (Breath of the Wild),"371.6, 2564.0",,,"Stand near the pinwheel, shoot the balloons.",Korok560.jpg
561,推石入坑,text,Lake Hylia (Breath of the Wild),"283.0, 2404.4",,,Roll the boulder into the hole.,Korok561.jpg
562,搬石头,text,勇气之泉,"756.0, 2348.4",,,"Bomb the nearby breakable wall in the mountainside, then lift the revealed stone.",Korok562.jpg
563,搬石头,text,勇气之泉,"890.0, 2391.6",,,Climb up the tree and lift the small rock.,Korok563.jpg
564,食物祭品,text,卡兹溜湖,"789.6, 2565.6",,,"Get the boulder off the pillar and to the corner, matching the other three surrounding the statue.",Korok564.jpg
565,搬石头,text,卡兹溜河,"1171.6, 2851.0",,,Lift the stone above the small waterfall.,Korok565.jpg
566,精灵光点,text,撒戎树海,"1198.4, 3056.0",,,Interact with the fairy lights floating around the lake.,Korok566.jpg
567,精灵光点,text,卡玛斯台地,"1324.4, 3009.6",,,Interact with the fairy lights floating around the area.,Korok567.jpg
568,射气球,text,亚哲台地,"1462.0, 2367.6",,,Stand near the pinwheel and shoot the balloons.,Korok568.jpg
569,射箭·射靶,actor,比托谷,"1323.0, 2453.6",,,Complete the rock triangle on the island in the tar pit. Knock down a tree to make a bridge.,Korok569.jpg
570,赛跑·树桩,text,比托谷,"1188.4, 2476.4","1131.8, 2327.6",是,The seed platform is visible to the north-northwest. Race to the ring for the seed.,Korok570.jpg
571,搬石头,text,奥赛平原,"-925.6, 3438.0",,,"Blow up the middle set of boulders, and then pick up the rock.",Korok571.jpg
572,搬石头,text,摩尔迦娜山,"-1257.6, 3134.0",,,"Blow up the boulders, then lift up the small rock that was hidden beneath them.",Korok572.jpg
573,射气球,text,奥布巴巴草地,"-1065.0, 2911.6",,,Shoot the balloon.,Korok573.jpg
574,射箭·射靶,text,泰格利平原,"-924.4, 2939.6","-1066.8, 2910.0",是,Shoot the acorn hiding inside the end of the hollowed out log.,Korok574.jpg
575,精灵光点,text,卡坡莱山,"-1011.6, 2640.0",,,Climb the lone tree to the very top and examine the fairy lights.,Korok575.jpg
576,射箭·射靶,text,奥布巴巴草地,"-1213.0, 2704.0","-1066.8, 2910.0",是,Shoot the small acorn hanging from the tall tree.,Korok576.jpg
577,磁铁·方块拼图,text,奥布巴巴草地,"-1378.4, 2743.6",,,Solve the Magnesis block puzzle.,Korok577.jpg
578,射气球,text,海利亚山,"-1399.6, 2376.4",,,"Stand near the pinwheel, shoot the balloons.",Korok578.jpg
579,精灵光点,text,格鲁德峡谷 入口,"-1656.0, 2309.0",,,Climb the tree and examine the fairy lights.,Korok579.jpg
580,射气球,text,斯塔尔里台地,"-1617.6, 2446.4",,,Stand near the pinwheel and shoot the balloons.,Korok580.jpg
581,射气球,text,Spectacle Rock (Breath of the Wild),"-2207.0, 2550.0",,,Shoot the balloon underneath the rock bridge.,Korok581.jpg
582,搬石头,text,Spectacle Rock (Breath of the Wild),"-2357.6, 2557.0",,,Pick up the rock on the first ledge from the top of the cliff.,Korok582.jpg
583,搬石头,text,Spectacle Rock (Breath of the Wild),"-2059.0, 2416.0",,,Pick up the rock.,Korok583.jpg
584,赛跑·树桩,text,Spectacle Rock (Breath of the Wild),"-2066.4, 2397.0","-2103.9, 2297.2",是,Just to the north is a seed platform on a wooden platform. Race to the ring for the seed.,Korok584.jpg
585,搬石头,text,格鲁德沙漠 入口,"-2852.4, 2320.4",,,"Go to the westernmost part of the cliff behind the shrine, climb up 4 cliffs, then pick up the rock.",Korok585.jpg
586,磁铁·方块拼图,text,基尔克台地,"-2462.0, 1711.6",,,Solve the block puzzle.,Korok586.jpg
587,搬石头,text,格鲁德峡谷,"-2169.6, 2078.4",,,"Climb the tree, lift the rock.",Korok587.jpg
588,磁铁·方块拼图,text,梅竹台地,"-2062.4, 1851.0",,,Solve the Magnesis Block puzzle near the top of the cliff.,Korok588.jpg
589,射气球,text,南部绿洲,"-3728.4, 3613.0",,,Shoot the balloon in the tree.,Korok589.jpg
590,赛跑·树桩,text,西格鲁德,"-4374.0, 2587.0",,,"Climb up to the seed platform, and then get to the ring, quick.",Korok590.jpg
591,精灵光点,text,西格鲁德遗迹,"-4709.6, 2177.6",,,Climb to the highest point of the rib structure and examine the fairy lights.,Korok591.jpg
592,精灵光点,text,西格鲁德遗迹,"-4686.4, 1972.4",,,Climb to the highest point of the rib structure and examine the fairy lights.,Korok592.jpg
593,垒石·石圈,text,卡尔萨谷,"-4172.4, 1991.0",,,Complete the rock circle. The rock to use is in a corner of the cliff wall.,Korok593.jpg
594,追花,text,卡尔萨谷,"-4353.6, 1837.0",,,Follow the flower trail up the wall to the cliff above.,Korok594.jpg
595,食物祭品,text,卡尔萨谷,"-4314.4, 1628.4",,,Offer a Mighty Banana to the offering bowl.,Korok595.jpg
596,食物祭品,text,卡尔萨谷,"-4264.4, 1694.0",,,Offer Mighty Bananas to the two offering bowls.,Korok596.jpg
597,食物祭品,text,卡尔萨谷,"-4222.4, 1667.0",,,Offer Mighty Bananas to the three offering bowls.,Korok597.jpg
598,食物祭品,text,艾美拉尔台地,"-4076.0, 1596.0",,,Offer Mighty Bananas to the four offering bowls.,Korok598.jpg
599,食物祭品,text,艾美拉尔台地,"-3999.0, 1568.0",,,Offer Mighty Bananas to the five offering bowls.,Korok599.jpg
600,搬石头,text,依盖队基地,"-3713.6, 1556.4",,,"Roll the...No, wait, pick up the snowball and place it in the hole.",Korok600.jpg
601,磁铁·方块拼图,text,北格鲁德巨石,"-3075.0, 2043.6",,,"This Magnesis puzzle is more spread out than most. Solution is on the west wall, puzzle on the east, and block's in the middle.",Korok601.jpg
602,垒石·石圈,text,萨菲亚斯台地,"-3130.0, 1469.0",,,Find a rock just to the east of the rock circle. Walk along the narrow cliff path to complete the pattern.,Korok602.jpg
603,垒石·石圈,text,塔菲亚高地,"-2815.0, 1649.6",,,"This is a rock circle made up of pieces of 3 rocks each, except for a large rock out of place. Put it in place.",Korok603.jpg
604,搬石头,text,基尔克台地,"-2647.6, 1536.4",,,"At the top of this section of the mountain, lift up the small rock.",Korok604.jpg
605,垒石·石圈,text,基尔克台地,"-2521.6, 1319.6",,,A circle of rocks on this ledge on the side of the mountain is incomplete. Grab the rock from the ledge slightly higher up and bring it down to the ring and complete the circle of rocks. Level 2 Cold Resistance recommended,Korok605.jpg
606,冰块,text,澳尔帕台地,"-2849.0, 1229.0",,,Melt the chunk of ice that's closest to the edge.,Korok606.jpg
607,精灵光点,text,澳尔帕台地,"-2869.0, 1126.4",,,Climb the tree and examine the fairy lights.,Korok607.jpg
608,垒石·石圈,text,澳尔帕台地,"-3070.4, 913.0",,,Complete the rock pattern.,Korok608.jpg
609,磁铁·方块拼图,text,奥尔汀台地,"2087.6, -3571.0",,,Complete the magnetic block puzzle.,Korok609.jpg
610,搬石头,text,奥尔汀台地,"2232.0, -3670.0",,,Bomb the rock wall and pick up the rock behind it.,Korok610.jpg
611,搬石头,text,东埃文坡高地,"1619.0, -3657.6",,,"Climb inside of the skeleton's north-facing eye socket, burn or bomb the leaves, then pick up the rock.",Korok611.jpg
